cohort,model,outcome,estimate,lcl,ucl,p.value
sensitivity_exclude_delivery_mode,iptw,oxygen_any,1.541007180620867,1.0090206143332416,2.353473355243859,0.04559860407857695
sensitivity_exclude_delivery_mode,doubly_robust,oxygen_any,1.5686168009679842,1.0161205529847894,2.421522388314357,0.042403047369304114
sensitivity_exclude_delivery_mode,iptw,nicu_admit,1.1934123117633648,0.7617561199959987,1.8696705001541172,0.4403282823788316
sensitivity_exclude_delivery_mode,doubly_robust,nicu_admit,1.1887584712984298,0.731287550543239,1.932409080441777,0.4856335157579458
sensitivity_exclude_delivery_mode,iptw,hypoglycemia,1.9810394821241566,0.5915251368767066,6.634574230364019,0.26787958530118866
sensitivity_exclude_delivery_mode,doubly_robust,hypoglycemia,2.1539513795037992,0.574189085617668,8.080102289432235,0.2555981366166365
sensitivity_exclude_delivery_mode,iptw,sepsis_any,1.554477907761491,0.5386854773237911,4.48573735034275,0.41476419834892886
sensitivity_exclude_delivery_mode,doubly_robust,sepsis_any,1.7812693353827136,0.5900335824951219,5.37752517705381,0.3060275152172991
sensitivity_exclude_delivery_mode,iptw,resp_any,0.9139046719289068,0.5210016432598438,1.6031077064317918,0.753589507321004
sensitivity_exclude_delivery_mode,doubly_robust,resp_any,0.8815593839861832,0.4805270877168574,1.61728020617231,0.6839609109399012
sensitivity_exclude_delivery_mode,iptw,preterm_comp_any,2.022848162785496,0.68302490949979,5.990871830254844,0.20373670461659987
sensitivity_exclude_delivery_mode,doubly_robust,preterm_comp_any,2.1998473340624747,0.7245129462580889,6.679422801449696,0.16444872943086608
