variable,smd_unweighted,smd_weighted
age,0.03397883876013772,0.01595883948104839
bmi,0.07887036688633935,0.01158122883665384
gravida,0.03141450200807684,0.009451907590090658
parity,0.1915734590418012,2.4411733851986128e-4
conception_assisted,0.039105328166627706,0.028505492277086854
maternal_disease_grp,0.23447036509192337,0.02424054637483168
medication_use_grp,0.1320212845245717,0.046616905762125245
maternal_infection_bin,0.013950904516964043,0.04257262948950708
indication_delivery_grp,0.3284371361756581,0.09535481997969233
type_of_delivery,0.3919558914343217,0.04970522250861869
fetal_gender,0.047969948838611616,0.002568732448192639
