model,outcome,effect,estimate,lcl,ucl,p.value,q.value
crude,oxygen_any,OR,1.5402777027347516,1.034232927869285,2.2939275453446926,0.03353350205292906,NA
adjusted,oxygen_any,OR,1.3394038694962074,0.8700927514145623,2.061852282650091,0.18426426073578692,NA
iptw,oxygen_any,OR,1.4043521228675713,0.904737946713085,2.1798631218770903,0.13040533817198222,NA
doubly_robust,oxygen_any,OR,1.4088873251358778,0.8743438782583428,2.2702320497542616,0.1593499394784084,NA
crude,nicu_admit,OR,1.285822021116588,0.8448054428281012,1.9570639417918196,0.2407717375491859,0.7231773123021252
adjusted,nicu_admit,OR,0.9959444721782725,0.6218366079549738,1.595122221775467,0.9865081651066544,0.7231773123021252
iptw,nicu_admit,OR,1.100796735103774,0.6926091439796975,1.7495487354562682,0.6846420674789662,0.7231773123021252
doubly_robust,nicu_admit,OR,1.0597996211950074,0.6344610507342581,1.7702824086446867,0.8244550553421086,0.7231773123021252
crude,hypoglycemia,OR,2.872131147495233,0.8870407386647738,9.2996149656321,0.07840065292451481,0.6715311873724727
adjusted,hypoglycemia,OR,2.133280580715967,0.5837766750896548,7.795594154838305,0.2518217536622158,0.6715311873724727
iptw,hypoglycemia,OR,2.139367635520168,0.6286463166253823,7.280554675767836,0.22384372912415756,0.6715311873724727
doubly_robust,hypoglycemia,OR,2.2948087226400244,0.5809052947521625,9.06541414078777,0.23627542690974043,0.6715311873724727
crude,sepsis_any,OR,1.7020857920233237,0.6301185166819822,4.597700221004322,0.2941588907067111,0.7231773123021252
adjusted,sepsis_any,OR,1.5103261454789954,0.5468260078587507,4.171500683827499,0.42633999372111975,0.7231773123021252
iptw,sepsis_any,OR,1.3396490606601537,0.4689352278429499,3.8270948718927933,0.5851971283190307,0.7231773123021252
doubly_robust,sepsis_any,OR,1.4951730862610626,0.502765514849719,4.446491439548423,0.46961777613450273,0.7231773123021252
crude,resp_any,OR,0.9191176470588647,0.540252637724495,1.5636707535444239,0.7557286246029351,0.7231773123021252
adjusted,resp_any,OR,0.7258857129878957,0.3959623928253675,1.3307073547066133,0.3001875929061897,0.7231773123021252
iptw,resp_any,OR,0.866688075180779,0.4823610655508758,1.5572322753759609,0.632355644706385,0.7231773123021252
doubly_robust,resp_any,OR,0.7984968274214697,0.42130435662449595,1.5133885358096018,0.49047666174443383,0.7231773123021252
crude,preterm_comp_any,OR,1.9926537984926056,0.72654758083005,5.465119237078303,0.18043715503076854,0.6715311873724727
adjusted,preterm_comp_any,OR,2.267232820413223,0.7867067785659762,6.534003267810676,0.1295784288619397,0.6715311873724727
iptw,preterm_comp_any,OR,2.4367496875067625,0.793355841690059,7.48434526796364,0.12009757369387919,0.6715311873724727
doubly_robust,preterm_comp_any,OR,2.6350392249513392,0.847272528556464,8.19503935630014,0.094506579864697,0.6715311873724727
crude,death,OR,0.7795555591510352,0.09792698899482845,6.205713828650205,0.8139867010459432,0.7231773123021252
adjusted,death,OR,0.37737131780822425,0.032354286702332084,4.4015531176600184,0.43682670570937804,0.7231773123021252
iptw,death,OR,1.4558254524671632,0.18231370610064584,11.625169568332922,0.7231773123021252,0.7231773123021252
doubly_robust,death,OR,0.6755943725697524,0.09642163700956474,4.733665289281918,0.6930697306368111,0.7231773123021252
crude,inv_mv_any,OR,2.2071611250541,0.9270062548580819,5.255153572503006,0.07365478930043518,NA
adjusted,inv_mv_any,OR,2.0377415679437467,0.7523370438904687,5.519322398712534,0.16144349053665402,NA
iptw,inv_mv_any,OR,2.0395755464376926,0.7960373931130362,5.225719853886206,0.13790927183870078,NA
doubly_robust,inv_mv_any,OR,2.1325330548340555,0.7349304430260212,6.18792876674841,0.1638273143596727,NA
crude,nasal_mv_any,OR,0.9059929496542335,0.5104823596716062,1.6079365119515883,0.735893607253725,NA
adjusted,nasal_mv_any,OR,0.8126792353098761,0.4351204263085816,1.5178500009913674,0.515199176536644,NA
iptw,nasal_mv_any,OR,0.9925026042408785,0.525214742037069,1.8755403087208118,0.9815137924133972,NA
doubly_robust,nasal_mv_any,OR,0.9903914677864023,0.5029547960300681,1.9502254819048683,0.9777255193211308,NA
crude,o2_any,OR,1.0463345633454104,0.6394146152348388,1.7122161307638175,0.8569526150375976,NA
adjusted,o2_any,OR,0.8383883214483095,0.4792500431800576,1.4666560546909153,0.5367228870864995,NA
iptw,o2_any,OR,1.0373988562219096,0.6014497842708109,1.7893370569503013,0.8949999758989042,NA
doubly_robust,o2_any,OR,0.9915503505393808,0.5425596858650257,1.8120994302908007,0.9780004614756987,NA
crude,high_intensity_initial_support,OR,1.1025473190434734,0.706629895635306,1.7202931806855388,0.6671190745581035,NA
adjusted,high_intensity_initial_support,OR,0.9380520678982204,0.5815287170237889,1.513152586155313,0.7932123899108451,NA
iptw,high_intensity_initial_support,OR,0.9621235620428423,0.589153074807462,1.5712075319992587,0.87739952294196,NA
doubly_robust,high_intensity_initial_support,OR,0.9220657086618977,0.5457290371004749,1.5579254781959406,0.761793713568595,NA
crude,hospital_course_respiratory_support,OR,1.0296739889991242,0.6294425415165761,1.6843928614466679,0.907292031481389,NA
adjusted,hospital_course_respiratory_support,OR,0.8265223193156692,0.4731464593972647,1.4438217400954356,0.5032065429642522,NA
iptw,hospital_course_respiratory_support,OR,1.0215125610267781,0.5924197095666395,1.7613997230085547,0.9389803734260603,NA
doubly_robust,hospital_course_respiratory_support,OR,0.9750751718221586,0.5342984879081311,1.7794764765785578,0.9344732763443586,NA
