ga_week,n,outcome,iptw_or,lcl,ucl,p.value,display
34,139,Initial respiratory support,0.624164467445964,0.2544794321615236,1.5308949690473537,0.30497129914803434,"0.62 (0.25–1.53), P=0.305"
35,307,Initial respiratory support,0.6866138533973654,0.29100959734523074,1.6200104325696907,0.3913052702412727,"0.69 (0.29–1.62), P=0.391"
36,566,Initial respiratory support,2.246980371674914,1.0689511172857251,4.723247592006385,0.033116319327789044,"2.25 (1.07–4.72), P=0.033"
