cohort,model,outcome,estimate,lcl,ucl,p.value
sensitivity_include_early,iptw,nicu_admit,1.078312990301222,0.6876222059307406,1.6909851005734973,0.7426254929597271
sensitivity_include_early,doubly_robust,nicu_admit,1.0805418159071507,0.6494105233703841,1.7978929720207377,0.7656131979360717
sensitivity_include_early,iptw,resp_any,0.9078742109960084,0.5187567372236476,1.5888672355425786,0.7350729778606209
sensitivity_include_early,doubly_robust,resp_any,0.8766364101863237,0.4757198228967879,1.6154285751323338,0.6729840217757281
sensitivity_include_early,iptw,hypoglycemia,2.384999815224272,0.7343867549810336,7.745542903707078,0.1483803153136703
sensitivity_include_early,doubly_robust,hypoglycemia,2.6452867138147025,0.7433517357621099,9.413500314370648,0.13338367432083068
sensitivity_include_early,iptw,sepsis_any,1.1884631089338338,0.40046613636352746,3.5270012444061223,0.7557809023324955
sensitivity_include_early,doubly_robust,sepsis_any,1.268473336954155,0.4288292717695692,3.7521333371762364,0.6674335191637308
sensitivity_include_early,iptw,oxygen_any,1.3438681901728464,0.878538455354143,2.0556660912816183,0.17320819190849804
sensitivity_include_early,doubly_robust,oxygen_any,1.381727342990382,0.8761683151622407,2.1789996480456364,0.16445777370857553
sensitivity_include_early,iptw,death,0.9701605803376641,0.12156421112946823,7.7425053220532565,0.9771992912236189
sensitivity_include_early,doubly_robust,death,0.5823376486986033,0.06784992434765347,4.998047386968767,0.6221303019811208
